Municipios;Sexo;Periodo;Total
02003 Albacete;Ambos sexos;2021;20,43
02003 Albacete;Ambos sexos;2020;20,4
02003 Albacete;Ambos sexos;2019;20,32
02003 Albacete;Ambos sexos;2018;21,14
02003 Albacete;Ambos sexos;2017;21
02003 Albacete;Ambos sexos;2016;20,91
02003 Albacete;Ambos sexos;2015;20,72
02003 Albacete;Ambos sexos;2014;20,72
02003 Albacete;Hombres;2021;18,25
02003 Albacete;Hombres;2020;18,24
02003 Albacete;Hombres;2019;18,21
02003 Albacete;Hombres;2018;19,1
02003 Albacete;Hombres;2017;18,98
02003 Albacete;Hombres;2016;18,86
02003 Albacete;Hombres;2015;18,66
02003 Albacete;Hombres;2014;18,79
02003 Albacete;Mujeres;2021;22,38
02003 Albacete;Mujeres;2020;22,33
02003 Albacete;Mujeres;2019;22,21
02003 Albacete;Mujeres;2018;22,92
02003 Albacete;Mujeres;2017;22,77
02003 Albacete;Mujeres;2016;22,7
02003 Albacete;Mujeres;2015;22,51
02003 Albacete;Mujeres;2014;22,37
41004 Alcalá de Guadaíra;Ambos sexos;2021;19,41
41004 Alcalá de Guadaíra;Ambos sexos;2020;19,5
41004 Alcalá de Guadaíra;Ambos sexos;2019;19,5
41004 Alcalá de Guadaíra;Ambos sexos;2018;19,35
41004 Alcalá de Guadaíra;Ambos sexos;2017;19,17
41004 Alcalá de Guadaíra;Ambos sexos;2016;19,17
41004 Alcalá de Guadaíra;Ambos sexos;2015;19,15
41004 Alcalá de Guadaíra;Ambos sexos;2014;19,4
41004 Alcalá de Guadaíra;Hombres;2021;17,52
41004 Alcalá de Guadaíra;Hombres;2020;17,48
41004 Alcalá de Guadaíra;Hombres;2019;17,43
41004 Alcalá de Guadaíra;Hombres;2018;17,25
41004 Alcalá de Guadaíra;Hombres;2017;17,25
41004 Alcalá de Guadaíra;Hombres;2016;17,15
41004 Alcalá de Guadaíra;Hombres;2015;17,1
41004 Alcalá de Guadaíra;Hombres;2014;17,02
41004 Alcalá de Guadaíra;Mujeres;2021;21,1
41004 Alcalá de Guadaíra;Mujeres;2020;21,35
41004 Alcalá de Guadaíra;Mujeres;2019;21,38
41004 Alcalá de Guadaíra;Mujeres;2018;21,22
41004 Alcalá de Guadaíra;Mujeres;2017;20,89
41004 Alcalá de Guadaíra;Mujeres;2016;20,98
41004 Alcalá de Guadaíra;Mujeres;2015;21
41004 Alcalá de Guadaíra;Mujeres;2014;21,54
28005 Alcalá de Henares;Ambos sexos;2021;20,85
28005 Alcalá de Henares;Ambos sexos;2020;20,77
28005 Alcalá de Henares;Ambos sexos;2019;20,76
28005 Alcalá de Henares;Ambos sexos;2018;21,76
28005 Alcalá de Henares;Ambos sexos;2017;21,68
28005 Alcalá de Henares;Ambos sexos;2016;21,39
28005 Alcalá de Henares;Ambos sexos;2015;21,25
28005 Alcalá de Henares;Ambos sexos;2014;21,21
28005 Alcalá de Henares;Hombres;2021;18,99
28005 Alcalá de Henares;Hombres;2020;18,75
28005 Alcalá de Henares;Hombres;2019;18,75
28005 Alcalá de Henares;Hombres;2018;19,85
28005 Alcalá de Henares;Hombres;2017;19,78
28005 Alcalá de Henares;Hombres;2016;19,36
28005 Alcalá de Henares;Hombres;2015;19,31
28005 Alcalá de Henares;Hombres;2014;19,11
28005 Alcalá de Henares;Mujeres;2021;22,53
28005 Alcalá de Henares;Mujeres;2020;22,62
28005 Alcalá de Henares;Mujeres;2019;22,63
28005 Alcalá de Henares;Mujeres;2018;23,5
28005 Alcalá de Henares;Mujeres;2017;23,39
28005 Alcalá de Henares;Mujeres;2016;23,24
28005 Alcalá de Henares;Mujeres;2015;22,99
28005 Alcalá de Henares;Mujeres;2014;23,11
28006 Alcobendas;Ambos sexos;2021;21,69
28006 Alcobendas;Ambos sexos;2020;21,6
28006 Alcobendas;Ambos sexos;2019;21,53
28006 Alcobendas;Ambos sexos;2018;22,33
28006 Alcobendas;Ambos sexos;2017;22,08
28006 Alcobendas;Ambos sexos;2016;22,03
28006 Alcobendas;Ambos sexos;2015;21,71
28006 Alcobendas;Ambos sexos;2014;21,55
28006 Alcobendas;Hombres;2021;19,61
28006 Alcobendas;Hombres;2020;19,59
28006 Alcobendas;Hombres;2019;19,71
28006 Alcobendas;Hombres;2018;20,61
28006 Alcobendas;Hombres;2017;20,55
28006 Alcobendas;Hombres;2016;20,56
28006 Alcobendas;Hombres;2015;20,14
28006 Alcobendas;Hombres;2014;19,62
28006 Alcobendas;Mujeres;2021;23,53
28006 Alcobendas;Mujeres;2020;23,41
28006 Alcobendas;Mujeres;2019;23,17
28006 Alcobendas;Mujeres;2018;23,76
28006 Alcobendas;Mujeres;2017;23,4
28006 Alcobendas;Mujeres;2016;23,27
28006 Alcobendas;Mujeres;2015;23,06
28006 Alcobendas;Mujeres;2014;23,21
28007 Alcorcón;Ambos sexos;2021;21,67
28007 Alcorcón;Ambos sexos;2020;21,75
28007 Alcorcón;Ambos sexos;2019;21,78
28007 Alcorcón;Ambos sexos;2018;22,62
28007 Alcorcón;Ambos sexos;2017;22,35
28007 Alcorcón;Ambos sexos;2016;22,11
28007 Alcorcón;Ambos sexos;2015;22,05
28007 Alcorcón;Ambos sexos;2014;22,01
28007 Alcorcón;Hombres;2021;19,24
28007 Alcorcón;Hombres;2020;19,5
28007 Alcorcón;Hombres;2019;19,33
28007 Alcorcón;Hombres;2018;20,47
28007 Alcorcón;Hombres;2017;20,13
28007 Alcorcón;Hombres;2016;20,09
28007 Alcorcón;Hombres;2015;19,82
28007 Alcorcón;Hombres;2014;19,96
28007 Alcorcón;Mujeres;2021;23,83
28007 Alcorcón;Mujeres;2020;23,77
28007 Alcorcón;Mujeres;2019;24,06
28007 Alcorcón;Mujeres;2018;24,54
28007 Alcorcón;Mujeres;2017;24,35
28007 Alcorcón;Mujeres;2016;23,9
28007 Alcorcón;Mujeres;2015;24,05
28007 Alcorcón;Mujeres;2014;23,86
03009 Alcoi/Alcoy;Ambos sexos;2021;19,73
03009 Alcoi/Alcoy;Ambos sexos;2020;20,03
03009 Alcoi/Alcoy;Ambos sexos;2019;20,23
03009 Alcoi/Alcoy;Ambos sexos;2018;20,49
03009 Alcoi/Alcoy;Ambos sexos;2017;20,11
03009 Alcoi/Alcoy;Ambos sexos;2016;20,05
03009 Alcoi/Alcoy;Ambos sexos;2015;19,76
03009 Alcoi/Alcoy;Ambos sexos;2014;19,56
03009 Alcoi/Alcoy;Hombres;2021;17,65
